,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
44,Risky Game,Exit Tunes Presents Ikemen Voice Paradise 3,Various Artists,2015-08-01,209000,10,7,0,0.68,0.635,0.654,0.0,0.0988,-4.509,0.0514,133.007,4,0.728
45,Inori,Exit Tunes Presents Supernova 5,Various Artists,2015-08-01,279000,1,3,1,0.445,0.0439,0.942,0.0,0.0647,-3.472,0.0574,93.292,4,0.502
46,Go! Shichi! Go!,"""Utayui 575"" Azuki To Maccha Character Song Collection!!",Various Artists,2015-08-01,185500,0,8,1,0.44,0.0241,0.901,0.0,0.243,-3.632,0.0441,101.002,3,0.435
47,カゲロウデイズ -初音ミク「マジカルミライ 2014」Live-,初音ミク「マジカルミライ 2014」 [Live],Various Artists,2015-02-25,235856,31,4,0,0.557,0.347,0.97,0.0,0.924,-2.205,0.0794,100.006,4,0.661
48,Waltz of Knives,MIKU-MIXTURE,Various Artists,2014-02-19,315626,8,0,1,0.385,0.386,0.8,0.00579,0.0856,-6.615,0.049,152.982,4,0.143
49,Waltz of Knives,MIKU-MIXTURE,Various Artists,2014-02-19,315626,1,0,1,0.385,0.386,0.8,0.00579,0.0856,-6.615,0.049,152.982,4,0.143
50,赤心性:カマトト荒療治 feat.赤飯(カバー),赤BAN,Sekihan,2013-06-19,227789,8,11,0,0.568,0.00216,0.988,0.000141,0.0838,-2.57,0.0944,102.48,4,0.622
51,Sekishinsei: Kamatoto Araryouji,Aka Ban,Various Artists,2013,227789,15,11,0,0.568,0.00216,0.988,0.000141,0.0838,-2.57,0.0944,102.48,4,0.622
52,Tokyo Pleasure Ground -Prologue-,Tokyo Pleasure Ground,Various Artists,2013,38100,0,9,1,0.554,0.000227,0.991,0.512,0.047,-5.041,0.0459,120.036,4,0.558
53,Erehwon No Fumoto De,Kaku Eiga Ongakushu 2,Tohru Okada,2012-08-08,180480,0,5,1,0.232,0.524,0.695,0.95,0.291,-6.763,0.0648,164.978,4,0.375
54,幽霊屋敷の首吊り少女 feat.灯油(カバー),トモシビアブラ,TOUYU,2012-06-20,269732,0,0,0,0.261,0.0251,0.897,2.21e-05,0.114,-2.674,0.044,88.223,4,0.783
55,Yuurei Yashiki No Kubitsuri Shoujo,Tomoshibi Abura,Various Artists,2012,269732,9,0,0,0.261,0.0251,0.897,2.21e-05,0.114,-2.674,0.044,88.223,4,0.783
56,Shuukan Shounen Bye Bye,Exit Tunes Presents Supernova 8,Various Artists,2012,198800,2,9,0,0.435,0.00102,0.899,0.00859,0.331,-2.813,0.141,167.912,4,0.736
57,ヴィデオ ボーイ,初音ミク plays 月光下騎士団(ムーンライダーズ),Plusico Produced By Thomas O'hara,2011-12-14,228706,0,0,1,0.699,0.00358,0.747,0.000164,0.381,-5.611,0.0303,137.992,4,0.931
58,永久のキズナ - feat. Another Infinity,永久のキズナ [feat. Another Infinity(通常盤)],Daisy×Daisy,2011-10-19,218640,0,8,0,0.615,0.207,0.992,6.08e-05,0.322,-3.459,0.103,143.983,4,0.665
59,リスキーゲーム (feat. nero),EXIT TUNES PRESENTS イケメンボイスパラダイス 3,Various Artists,2011-06-15,209000,0,7,0,0.68,0.635,0.654,0.0,0.0988,-4.509,0.0514,133.007,4,0.728
60,inori,EXIT TUNES PRESENTS Supernova(スーパーノヴァ)5 ジャケットイラスト:なぎみそ,Various Artists,2011-04-29,279000,0,3,1,0.445,0.0439,0.942,0.0,0.0647,-3.472,0.0574,93.292,4,0.502
